raceId,constructorId,points,position,wins
860,206,0.0,10,0
860,207,0.0,11,0
860,1,40.0,1,1
860,3,0.0,9,0
860,131,0.0,8,0
860,10,1.0,7,0
860,5,2.0,6,0
860,208,6.0,5,0
860,15,12.0,3,0
860,6,10.0,4,0
860,9,30.0,2,0
861,1,55.0,1,1
861,9,42.0,2,0
861,6,35.0,3,1
861,15,30.0,4,0
861,208,16.0,5,0
861,5,6.0,8,0
861,10,9.0,6,0
861,131,1.0,9,0
861,3,8.0,7,0
861,206,0.0,10,0
861,207,0.0,11,0
861,164,0.0,12,0
862,1,88.0,1,1
862,9,64.0,2,0
862,6,37.0,3,1
862,15,31.0,4,0
862,208,24.0,6,0
862,5,6.0,9,0
862,10,9.0,8,0
862,131,26.0,5,1
862,3,18.0,7,0
862,206,0.0,10,0
862,207,0.0,11,0
862,164,0.0,12,0
864,164,0.0,12,0
864,207,0.0,11,0
864,3,43.0,6,1
864,131,43.0,5,1
864,10,18.0,8,0
864,208,84.0,3,0
864,206,0.0,10,0
864,5,6.0,9,0
864,15,41.0,7,0
864,6,63.0,4,1
864,9,109.0,1,1
864,1,98.0,2,1
863,1,92.0,2,1
863,9,101.0,1,1
863,6,45.0,4,1
863,15,31.0,6,0
863,208,57.0,3,0
863,5,6.0,9,0
863,10,17.0,8,0
863,131,37.0,5,1
863,3,18.0,7,0
863,206,0.0,10,0
863,207,0.0,11,0
863,164,0.0,12,0
865,1,108.0,2,1
865,9,146.0,1,2
865,6,86.0,3,1
865,15,41.0,7,0
865,208,86.0,4,0
865,5,6.0,9,0
865,10,28.0,8,0
865,131,61.0,5,1
865,3,44.0,6,1
865,206,0.0,11,0
865,207,0.0,10,0
865,164,0.0,12,0
866,1,133.0,2,2
866,9,164.0,1,2
866,6,97.0,4,1
866,15,58.0,6,0
866,208,108.0,3,0
866,5,6.0,9,0
866,10,28.0,8,0
866,131,69.0,5,1
866,3,44.0,7,1
866,206,0.0,11,0
866,207,0.0,10,0
866,164,0.0,12,0
867,1,137.0,2,2
867,9,176.0,1,2
867,6,122.0,4,2
867,15,60.0,6,0
867,208,126.0,3,0
867,5,6.0,9,0
867,10,44.0,8,0
867,131,92.0,5,1
867,3,45.0,7,1
867,206,0.0,11,0
867,207,0.0,10,0
867,164,0.0,12,0
868,1,142.0,4,2
868,9,216.0,1,3
868,6,152.0,2,2
868,15,60.0,6,0
868,208,144.0,3,0
868,5,6.0,9,0
868,10,44.0,8,0
868,131,98.0,5,1
868,3,47.0,7,1
868,206,0.0,11,0
868,207,0.0,10,0
868,164,0.0,12,0
869,207,0.0,10,0
869,164,0.0,12,0
869,131,105.0,5,1
869,206,0.0,11,0
869,3,47.0,7,1
869,10,46.0,8,0
869,5,6.0,9,0
869,208,159.0,4,0
869,15,80.0,6,0
869,6,177.0,2,3
869,9,230.0,1,3
869,1,160.0,3,2
870,164,0.0,12,0
870,206,0.0,11,0
870,10,46.0,8,0
871,9,272.0,1,3
870,207,0.0,10,0
870,131,106.0,5,1
871,1,218.0,2,4
870,1,193.0,2,3
870,9,246.0,1,3
870,208,192.0,3,0
870,15,80.0,6,0
870,6,189.0,4,3
870,3,53.0,7,1
870,5,6.0,9,0
871,6,199.0,4,3
