raceId,driverId,points,position,wins
969,830,10.0,5,0
969,8,12.0,4,0
969,822,15.0,3,0
969,1,18.0,2,0
969,20,25.0,1,1
860,807,0.0,22,0
860,3,0.0,12,0
860,154,0.0,21,0
860,13,0.0,17,0
860,813,0.0,13,0
860,818,0.0,11,0
860,817,2.0,9,0
860,815,4.0,8,0
860,8,6.0,7,0
860,155,8.0,6,0
860,4,10.0,5,0
860,1,15.0,3,0
860,20,18.0,2,0
860,18,25.0,1,1
861,18,25.0,3,1
861,20,18.0,6,0
861,1,30.0,2,0
861,4,35.0,1,1
861,155,8.0,9,0
861,8,16.0,7,0
861,815,22.0,5,0
861,817,2.0,12,0
861,818,4.0,11,0
861,3,0.0,15,0
861,813,0.0,16,0
861,13,0.0,19,0
861,154,0.0,24,0
861,807,2.0,13,0
862,18,43.0,2,1
862,20,28.0,5,0
862,1,45.0,1,0
862,4,37.0,3,1
862,155,9.0,10,0
862,8,16.0,8,0
862,815,22.0,7,0
862,817,2.0,15,0
862,818,4.0,13,0
862,3,25.0,6,1
862,813,4.0,14,0
862,13,0.0,18,0
862,154,8.0,11,0
862,807,2.0,16,0
863,18,43.0,4,1
863,20,53.0,1,1
863,1,49.0,2,0
863,4,43.0,5,1
863,155,9.0,12,0
863,8,34.0,7,0
863,815,22.0,9,0
863,817,2.0,15,0
863,818,4.0,13,0
863,3,35.0,6,1
863,813,4.0,14,0
863,13,2.0,17,0
863,154,23.0,8,0
863,807,2.0,16,0
864,18,45.0,6,1
864,20,61.0,1,1
864,1,53.0,3,0
864,4,61.0,2,1
864,155,19.0,11,0
864,8,49.0,4,0
864,815,22.0,10,0
864,817,2.0,16,0
864,818,4.0,14,0
864,3,41.0,7,1
864,813,29.0,9,1
864,13,2.0,17,0
864,154,35.0,8,0
864,807,3.0,15,0
865,18,45.0,7,1
865,20,73.0,2,1
865,1,63.0,4,0
865,4,76.0,1,1
865,155,19.0,12,0
865,8,51.0,6,0
865,815,22.0,10,0
865,817,2.0,17,0
865,818,4.0,16,0
865,3,59.0,5,1
865,813,29.0,9,1
865,13,10.0,14,0
865,154,35.0,8,0
865,807,7.0,15,0
866,18,45.0,8,1
866,20,85.0,3,1
866,1,88.0,1,1
866,4,86.0,2,1
866,155,21.0,11,0
866,8,55.0,6,0
866,815,37.0,9,0
866,817,2.0,17,0
866,818,4.0,16,0
866,3,67.0,5,1
866,813,29.0,10,1
866,13,11.0,14,0
866,154,53.0,7,0
866,807,7.0,15,0
867,18,49.0,8,1
867,20,85.0,4,1
867,1,88.0,3,1
867,4,111.0,1,2
867,155,21.0,12,0
867,8,73.0,6,0
867,815,39.0,9,0
867,817,2.0,18,0
867,818,4.0,17,0
867,3,75.0,5,1
867,813,29.0,10,1
867,13,11.0,16,0
867,154,53.0,7,0
867,807,17.0,14,0
868,18,50.0,8,1
868,20,100.0,3,1
868,1,92.0,4,1
868,4,129.0,1,2
868,155,21.0,14,0
868,8,83.0,5,0
868,815,39.0,9,0
868,817,2.0,18,0
868,818,4.0,17,0
868,3,75.0,6,1
868,813,29.0,10,1
868,13,23.0,13,0
868,154,61.0,7,0
868,807,17.0,16,0
870,4,164.0,1,3
870,1,117.0,4,2
870,20,122.0,3,1
870,18,76.0,7,1
869,807,19.0,15,0
869,154,61.0,8,0
869,13,23.0,14,0
869,20,110.0,3,1
869,1,92.0,5,1
869,4,154.0,1,3
869,155,33.0,10,0
869,8,98.0,4,0
869,815,47.0,9,0
869,817,2.0,18,0
