driverId,driverRef,number,code,forename,surname,dob,nationality
1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
3,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German
4,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish
9,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish
13,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian
16,sutil,99,SUT,Adrian,Sutil,1983-01-11,German
18,button,22,BUT,Jenson,Button,1980-01-19,British
20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German
154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French
155,kobayashi,10,KOB,Kamui,Kobayashi,1986-09-13,Japanese
842,gasly,10,GAS,Pierre,Gasly,1996-02-07,French
807,hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
813,maldonado,13,MAL,Pastor,Maldonado,1985-03-09,Venezuelan
815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican
817,ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian
818,vergne,25,VER,Jean-Éric,Vergne,1990-04-25,French
820,chilton,4,CHI,Max,Chilton,1991-04-21,British
821,gutierrez,21,GUT,Esteban,Gutiérrez,1991-08-05,Mexican
822,bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish
824,jules_bianchi,17,BIA,Jules,Bianchi,1989-08-03,French
825,kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish
826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian
827,lotterer,45,LOT,André,Lotterer,1981-11-19,German
828,ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish
829,stevens,28,STE,Will,Stevens,1991-06-28,British
830,max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch
831,nasr,12,NAS,Felipe,Nasr,1992-08-21,Brazilian
832,sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
833,merhi,98,MER,Roberto,Merhi,1991-03-22,Spanish
834,rossi,53,RSS,Alexander,Rossi,1991-09-25,American
835,jolyon_palmer,30,PAL,Jolyon,Palmer,1991-01-20,British
836,wehrlein,94,WEH,Pascal,Wehrlein,1994-10-18,German
837,haryanto,88,HAR,Rio,Haryanto,1993-01-22,Indonesian
838,vandoorne,2,VAN,Stoffel,Vandoorne,1992-03-26,Belgian
839,ocon,31,OCO,Esteban,Ocon,1996-09-17,French
840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
841,giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian
843,brendon_hartley,28,HAR,Brendon,Hartley,1989-11-10,New Zealander
844,leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
845,sirotkin,35,SIR,Sergey,Sirotkin,1995-08-27,Russian
846,norris,4,NOR,Lando,Norris,1999-11-13,British
847,russell,63,RUS,George,Russell,1998-02-15,British
848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai
849,latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian
850,pietro_fittipaldi,51,FIT,Pietro,Fittipaldi,1996-06-25,Brazilian
851,aitken,89,AIT,Jack,Aitken,1995-09-23,British
852,tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
853,mazepin,9,MAZ,Nikita,Mazepin,1999-03-02,Russian
854,mick_schumacher,47,MSC,Mick,Schumacher,1999-03-22,German
855,zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese
