raceId,driverId,stop,lap,p_time,duration
860,817,1,1,17:05:35,32.319
860,13,1,11,17:21:08,22.313
860,3,1,12,17:22:31,23.203
860,4,1,13,17:24:04,22.035
860,155,1,13,17:24:20,25.346
860,18,1,16,17:28:30,23.275
860,20,1,16,17:28:41,24.256
860,813,1,16,17:28:53,23.427
860,1,1,17,17:30:12,22.862
860,8,1,19,17:33:43,24.881
860,818,1,19,17:33:54,23.203
860,817,2,22,17:39:23,23.257
860,815,1,24,17:41:45,23.882
860,13,2,28,17:48:15,22.528
860,3,2,31,17:52:34,23.017
860,4,2,34,17:57:06,21.910
860,18,2,36,17:59:44,22.837
860,1,2,36,17:59:54,23.464
860,155,2,36,18:00:33,24.162
860,20,2,37,18:01:36,24.131
860,813,2,37,18:02:03,23.166
860,8,2,37,18:02:13,23.310
860,818,2,37,18:02:41,23.569
860,13,3,37,18:03:05,22.103
860,817,3,38,18:05:15,24.348
861,815,1,1,16:05:39,25.671
861,13,1,3,16:10:03,24.034
861,18,1,4,16:12:01,24.305
861,4,1,4,16:12:09,24.653
861,807,1,4,16:12:17,23.856
861,817,1,4,16:12:26,25.470
861,1,1,5,16:14:12,24.271
861,20,1,5,16:14:27,25.658
861,3,1,5,16:14:31,25.600
861,813,1,5,16:14:32,25.535
861,8,1,5,16:14:36,27.602
861,155,1,5,16:14:39,28.122
861,18,2,13,17:26:27,25.922
861,3,2,13,17:26:30,25.199
861,8,2,13,17:26:32,24.927
861,155,2,13,17:26:34,26.255
861,1,2,14,17:28:30,27.961
861,4,2,14,17:28:34,22.864
861,13,2,14,17:28:39,24.420
861,813,2,14,17:28:42,21.621
861,817,2,14,17:28:45,24.539
861,815,2,15,17:30:37,24.520
861,20,2,15,17:30:43,24.057
861,818,1,15,17:30:48,24.216
861,807,2,15,17:30:50,23.549
861,18,3,15,17:31:07,36.517
861,813,3,15,17:31:11,23.974
861,18,4,24,17:50:04,23.509
861,817,3,25,17:51:55,22.610
861,3,3,26,17:53:46,23.050
861,13,3,27,17:55:53,23.130
861,817,4,37,18:16:06,23.648
861,13,4,38,18:18:08,26.934
861,813,4,39,18:19:34,23.409
861,3,4,39,18:19:47,23.231
861,18,5,39,18:19:49,23.477
861,4,3,40,18:20:25,22.534
861,20,3,40,18:20:50,22.998
861,8,3,40,18:20:58,25.041
861,818,2,40,18:21:12,23.343
861,807,3,40,18:21:13,23.358
861,155,3,40,18:21:24,23.662
861,815,3,41,18:22:19,24.543
861,1,3,41,18:22:31,26.338
861,20,4,47,18:33:40,25.884
862,4,2,27,15:50:50,20.136
862,8,2,28,15:52:32,21.494
862,818,2,28,15:53:07,23.623
862,807,2,30,15:56:37,21.027
862,20,2,31,15:57:50,21.146
862,154,2,32,15:59:28,25.835
862,813,2,33,16:01:26,21.229
862,817,2,33,16:01:52,22.318
862,3,2,34,16:02:40,20.645
862,815,2,35,16:04:47,22.565
862,1,3,38,16:09:51,20.177
862,4,3,38,16:09:52,20.024
862,155,3,38,16:10:03,21.795
862,18,3,39,16:11:21,26.618
862,13,2,41,16:15:10,20.051
862,818,3,41,16:15:32,22.531
862,155,1,9,15:19:30,21.551
862,20,1,9,15:19:39,21.449
862,807,1,9,15:19:47,32.407
862,8,1,10,15:21:12,21.433
862,1,1,10,15:21:13,20.903
862,18,1,11,15:22:56,20.563
862,154,1,11,15:23:04,21.184
862,813,1,11,15:23:09,21.569
862,818,1,11,15:23:22,22.835
862,4,1,12,15:24:44,20.296
862,3,1,13,15:26:17,21.113
862,815,1,16,15:31:38,23.009
862,817,1,17,15:33:56,21.884
862,13,1,18,15:35:14,20.250
862,1,2,22,15:42:10,20.691
862,18,2,24,15:45:32,20.474
862,155,2,25,15:47:30,21.012
863,817,1,7,15:15:42,25.829
863,18,1,8,15:17:12,23.016
863,13,1,8,15:17:14,23.557
863,3,1,8,15:17:15,22.228
863,1,1,9,15:18:49,28.341
863,4,1,9,15:18:53,22.094
863,815,1,9,15:19:00,23.408
863,807,1,9,15:19:08,22.413
863,154,1,10,15:20:26,23.246
863,818,1,10,15:20:50,22.763
863,20,1,11,15:22:02,22.017
863,8,1,11,15:22:13,22.412
863,813,1,11,15:22:27,22.868
863,155,1,14,15:27:35,22.758
863,807,2,19,15:36:18,22.446
863,815,2,21,15:39:34,23.428
863,18,2,22,15:41:03,22.270
863,3,2,22,15:41:09,22.903
863,13,2,22,15:41:13,21.963
863,1,2,23,15:42:46,30.622
863,4,2,23,15:42:48,23.449
863,813,2,23,15:42:55,22.330
863,817,2,23,15:43:21,22.295
863,8,2,24,15:44:08,22.362
863,20,2,25,15:45:43,22.717
863,154,2,25,15:45:51,22.896
863,818,2,25,15:46:40,23.353
863,155,2,31,15:56:31,25.590
863,3,3,36,16:04:47,21.888
863,1,3,36,16:04:54,23.696
863,807,3,36,16:05:05,22.560
863,18,3,37,16:06:26,22.616
863,4,3,37,16:06:29,23.207
863,815,3,37,16:06:37,22.924
863,13,3,38,16:08:13,21.938
863,817,3,38,16:08:50,22.495
863,20,3,39,16:09:10,21.800
863,8,3,39,16:09:12,22.597
863,154,3,40,16:10:56,22.763
863,818,3,40,16:12:03,22.241
863,155,3,50,16:28:31,24.674
863,18,4,53,16:33:05,23.943
864,815,1,1,14:05:24,21.864
864,20,1,7,14:14:11,19.745
864,155,1,8,14:15:44,22.260
864,3,1,9,14:17:10,20.502
