resultId,raceId,driverId,constructorId,number,grid,position,points,laps,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21232,860,18,1,3,2,1,25.0,58,56,1,1:29.187,214.053,1
21233,860,20,9,1,6,2,18.0,58,57,2,1:29.417,213.503,1
21234,860,1,1,4,1,3,15.0,58,57,4,1:29.538,213.214,1
21236,860,4,6,5,12,5,10.0,58,52,7,1:30.277,211.469,1
21237,860,155,15,14,13,6,8.0,58,55,10,1:30.620,210.668,1
21238,860,8,208,9,17,7,6.0,58,50,11,1:30.759,210.346,1
21239,860,815,15,15,22,8,4.0,58,46,12,1:30.843,210.151,1
21240,860,817,5,16,10,9,2.0,58,53,8,1:30.592,210.733,1
21242,860,818,5,17,11,11,0.0,58,52,6,1:30.274,211.476,1
21243,860,3,131,8,7,12,0.0,58,53,14,1:30.931,209.948,1
21244,860,813,3,18,8,13,0.0,57,53,5,1:30.254,211.523,3
21248,860,13,6,6,16,,0.0,46,46,15,1:31.940,207.644,4
21256,861,4,6,5,8,1,25.0,56,53,7,1:41.680,196.250,1
21257,861,815,15,15,9,2,18.0,56,54,3,1:41.021,197.531,1
21258,861,1,1,4,1,3,15.0,56,50,6,1:41.539,196.523,1
21260,861,8,208,9,10,5,10.0,56,53,1,1:40.722,198.117,1
21263,861,818,5,17,18,8,4.0,56,55,12,1:41.922,195.785,1
21264,861,807,10,12,16,9,2.0,56,51,15,1:42.173,195.304,1
21266,861,20,9,1,5,11,0.0,56,50,4,1:41.342,196.905,1
21267,861,817,5,16,15,12,0.0,56,54,8,1:41.756,196.104,1
21268,861,3,131,8,7,13,0.0,56,51,11,1:41.863,195.898,1
21269,861,18,1,3,2,14,0.0,56,50,14,1:42.100,195.443,1
21270,861,13,6,6,12,15,0.0,56,56,13,1:42.051,195.537,1
21274,861,813,3,18,11,19,0.0,54,51,16,1:42.237,195.181,5
21278,861,155,15,14,17,,0.0,46,44,19,1:44.202,191.501,31
21279,861,154,208,10,6,,0.0,3,2,24,2:08.464,155.333,4
21280,862,3,131,8,1,1,25.0,56,40,8,1:40.967,194.356,1
21281,862,18,1,3,5,2,18.0,56,56,3,1:40.422,195.411,1
21282,862,1,1,4,7,3,15.0,56,40,6,1:40.530,195.201,1
21284,862,20,9,1,11,5,10.0,56,33,7,1:40.601,195.063,1
21285,862,154,208,10,10,6,8.0,56,35,11,1:41.120,194.062,1
21287,862,813,3,18,13,8,4.0,56,36,4,1:40.482,195.294,1
21288,862,4,6,5,9,9,2.0,56,41,12,1:41.152,194.001,1
21289,862,155,15,14,3,10,1.0,56,40,1,1:39.960,196.314,1
21290,862,815,15,15,8,11,0.0,56,37,10,1:41.071,194.156,1
21292,862,13,6,6,12,13,0.0,56,48,14,1:41.240,193.832,1
21293,862,8,208,9,4,14,0.0,56,43,18,1:41.794,192.777,1
21294,862,807,10,12,16,15,0.0,56,48,9,1:40.977,194.337,1
21295,862,818,5,17,24,16,0.0,56,48,2,1:40.019,196.198,1
21296,862,817,5,16,17,17,0.0,56,40,15,1:41.251,193.811,1
21304,863,20,9,1,1,1,25.0,57,41,1,1:36.379,202.151,1
21305,863,8,208,9,11,2,18.0,57,41,5,1:37.116,200.617,1
21306,863,154,208,10,7,3,15.0,57,42,3,1:36.928,201.006,1
21308,863,3,131,8,5,5,10.0,57,41,10,1:38.080,198.646,1
21310,863,4,6,5,9,7,6.0,57,44,15,1:38.203,198.397,1
21311,863,1,1,4,2,8,4.0,57,38,7,1:37.733,199.351,1
21312,863,13,6,6,14,9,2.0,57,42,12,1:38.123,198.558,1
